Product_ID,Product_Category,Price (USD),Cost (USD),Profit_Margin (%),Units_Sold,Advertising_Spend (USD),Competitor_Price (USD)
P00001,Furniture,437.0861069626262,287.36410032942314,34.25457918890232,232,2833.873076333562,450.4863142260804
P00002,Electronics,955.6428757689246,658.7956038911433,31.06257362499914,401,6836.85304159751,904.8020017742876
P00003,Automotive,758.7945476302646,638.7676348765203,15.818104271912791,85,1145.012763386102,710.787367714654
P00004,Electronics,638.792635777333,406.27323706748746,36.39982455760431,419,7318.295817229797,576.1850327605958
P00005,Industrial Equipment,240.41677639819287,203.83973772639513,15.214012607513139,86,1578.1392265049521,239.05328136150484
P00006,Industrial Equipment,240.3950683025824,128.6723671730716,46.47462276093234,63,1008.7448147039572,236.9644176549487
P00007,Electronics,152.27525095137952,123.45249626152322,18.928062511654776,460,10640.921935152788,144.17017972660446
P00008,Electronics,879.5585311974417,737.9663660985177,16.098094677810543,172,4880.851056330649,801.0407217920831
P00009,Industrial Equipment,641.0035105688879,367.1200567852958,42.727293886506445,132,2377.571787637919,631.9340640216491
P00010,Automotive,737.2653200164409,495.5444895711629,32.78613870511198,208,2880.1475309360894,779.762046705361
P00011,Home Appliances,118.52604486622221,67.10943591996474,43.38000901345379,378,5826.664051961634,123.62935277753839
P00012,Furniture,972.9188669457949,761.4468288970072,21.7358348402313,151,4089.082486959034,1043.123698034313
P00013,Industrial Equipment,849.1983767203795,606.4457706077246,28.586089277533734,386,8273.058663645541,765.9060596184676
P00014,Electronics,291.10519961044855,219.53097166950587,24.58706613166716,132,2521.2291252903674,318.26061727456295
P00015,Furniture,263.64247048639055,152.5421589978806,42.14052132175156,93,1208.3243020066036,255.28037738515633
P00016,Electronics,265.06405886809046,154.98251649170007,41.530165517903214,117,2222.3619014776496,291.06142492651094
P00017,Home Appliances,373.8180186635839,193.11398853257236,48.340106979603746,97,1510.2744865133302,355.32295804482925
P00018,Home Appliances,572.280788469014,359.8656194273407,37.11729859217081,106,3059.5058310491004,569.0229527571344
P00019,Industrial Equipment,488.7505167779042,353.8054553851547,27.61021354665301,124,3432.4938713510132,474.4719320657503
P00020,Furniture,362.1062261782377,305.3185426947683,15.682603440106845,71,829.1416093960412,351.66023754622563
P00021,Furniture,650.6676052501415,498.9130366704824,23.32290210165278,181,3680.285631125699,695.2099799526404
P00022,Home Appliances,225.54447458683765,152.05273129271396,32.58414706400993,351,5089.909585512998,236.66016064509841
P00023,Electronics,362.93018368169635,319.83151511596174,11.875195424234484,492,8962.04656091902,398.6535058391467
P00024,Industrial Equipment,429.7256589643225,338.49407659191155,21.23019197696672,467,12859.760303668603,439.48169333090436
